observations,TravelTime,startNodeID,endNodeID,interval
5,189,14443,16748,2010-04-08 12:50:00
1,186,13302,11708,2010-05-08 17:40:00
1,894,1380027976,1380009311,2010-05-08 01:35:00
2,1092,19964,13393,2010-04-08 12:40:00
2,1224,21217,1380009263,2010-03-08 09:50:00
2,716,14515,18934,2010-05-08 18:50:00
1,1159,10717,12512,2010-05-08 22:00:00
1,1185,1380032143,18845,2010-04-08 13:00:00
100,724,12728,12728,2010-02-08 20:20:00
1,1430,1380009311,16617,2010-04-08 06:25:00
1,541,20273,13128,2010-04-08 08:50:00
1,809,16169,11900,2010-02-08 13:00:00
1,182,10618,11591,2010-04-08 19:10:00
1,685,19324,12041,2010-04-08 16:05:00
1,525,20365,17083,2010-05-08 12:25:00
1,564,1380009311,10670,2010-03-08 04:10:00
1,686,13302,15262,2010-04-08 14:45:00
9,509,21238,21238,2010-02-08 22:05:00
1,183,10813,19847,2010-02-08 15:45:00
1,726,21465,18938,2010-05-08 14:40:00
1,1676,1380009311,17877,2010-03-08 20:25:00
1,773,16169,14332,2010-02-08 19:50:00
1,543,1380035712,17752,2010-03-08 20:05:00
1,495,12320,16597,2010-05-08 03:00:00
1,1155,18916,16982,2010-03-08 00:00:00
1,1007,12788,19926,2010-04-08 00:00:00
8,471,17088,10389,2010-04-08 02:30:00
1,833,14443,21254,2010-05-08 16:10:00
1,360,1380003375,18959,2010-05-08 19:00:00
1,1313,16958,16913,2010-05-08 22:50:00
1,915,13069,18267,2010-02-08 07:05:00
8,546,1380034898,10552,2010-02-08 15:20:00
1,369,15452,11783,2010-03-08 16:55:00
2,587,17104,10841,2010-03-08 19:45:00
1,375,13926,12617,2010-03-08 20:00:00
9,1381,1380009311,15199,2010-02-08 22:35:00
2,549,14932,10162,2010-02-08 19:35:00
1,1156,15560,15818,2010-05-08 00:05:00
2,723,12366,20496,2010-04-08 10:55:00
1,297,16958,20178,2010-03-08 00:05:00
4,729,21303,18627,2010-02-08 19:50:00
1,1083,11779,15220,2010-04-08 19:15:00
